SubscriptionId,InstitutionName,NewJiscBand,Sector,JC Institution Name,AccountStatus,OrderDate,ResourceName,SubscriptionStart,SubscriptionExpiry,AgreementName,AgreementStartDate,AgreementEndDate,LicenceType,Country,SubscriptionStatus,Agreement Type,Column
51108,University_of_Exeter,Band 4,Higher Education,University of Exeter,Active,2015-04-09,JSTOR Arts & Sciences XIV Collection 2012-15 Renewal,2015-04-09,2015-07-31,Jisc Collections JSTOR July 2026 Sub Lic July 2015,2014-08-01,2015-07-31,Direct,England,Request sent,Yearly Agreement,
51109,University_of_Exeter,Band 4,Higher Education,University of Exeter,Active,2015-04-09,SIAM Journals Collection SMP 2015,2015-04-09,2015-12-31,SIAM Journals Collection SMP 2015,2015-01-01,2015-12-31,Direct,England,Active,NESLi2 Agreement,
51110,University_of_Exeter,Band 4,Higher Education,University of Exeter,Active,2015-04-09,IOS Press SMP Ejournals 2015-2017,2015-04-09,2017-12-31,IOS Press SMP Ejournals 2015-2017,2015-01-01,2017-12-31,Direct,England,Active,NESLi2 Agreement,
51111,University_of_Exeter,Band 4,Higher Education,University of Exeter,Active,2015-04-09,Brill Journals SMP 2015 offer,2015-04-09,2015-12-31,Jisc Collections Koninklijke Brill Journals SMP December 2015,2015-01-01,2015-12-31,Direct,England,Active,NESLi2 Agreement,
51117,University_of_Exeter,Band 4,Higher Education,University of Exeter,Active,2015-04-10,Bloomsbury Journals SMP Agreement 2015,2015-04-10,2015-12-31,Jisc Collections Bloomsbury Journals SMP Dec 2015,2015-01-01,2015-12-31,Direct,England,Active,NESLi2 Agreement,
51118,University_of_Exeter,Band 4,Higher Education,University of Exeter,Active,2015-04-10,Maney Publishing Journals SMP 2015-17 offer,2015-04-10,2015-12-31,Maney Publishing Jisc Collections SMP 2015-17,2015-01-01,2015-12-31,Direct,England,Active,NESLi2 Agreement,
51119,University_of_Exeter,Band 4,Higher Education,University of Exeter,Active,2015-04-10,ACM Digital Library 2014-16,2015-04-10,2016-12-31,ACM Digital Library 2014-16,2015-01-01,2016-12-31,Direct,England,Active,NESLi2 Agreement,
51120,University_of_Exeter,Band 4,Higher Education,University of Exeter,Active,2015-04-10,Oxford Islamic Studies Online For Higher Education - New Orders 2014-2017,2015-04-10,2017-08-31,Jisc Collections OUP Agreement HE Aug 2017,2014-09-01,2017-08-31,Sublicence,England,Active,Yearly Agreement,
51121,University_of_Exeter,Band 4,Higher Education,University of Exeter,Active,2015-04-10,Drama Online: Subscription Option,2015-04-10,2016-02-29,Drama Online Agreement,2013-03-01,2016-02-29,Direct,England,Request sent,Yearly Agreement,
51208,University_of_Exeter,Band 4,Higher Education,University of Exeter,Active,2015-04-16,Journal Negotiation Charges 2015,2015-01-01,2015-12-31,Journal transaction fees 2015 info,2015-01-01,2015-12-31,Sublicence,England,Request sent,Consortia Agreement,
51209,University_of_Glasgow,Band 2,Higher Education,University of Glasgow,Active,2015-04-16,Journal Negotiation Charges 2015,2015-01-01,2015-12-31,Journal transaction fees 2015 info,2015-01-01,2015-12-31,Sublicence,Scotland,Request sent,Consortia Agreement,
51210,University_of_Gloucestershire,Band 7,Higher Education,University of Gloucestershire,Active,2015-04-16,Journal Negotiation Charges 2015,2015-01-01,2015-12-31,Journal transaction fees 2015 info,2015-01-01,2015-12-31,Sublicence,England,Request sent,Consortia Agreement,
