SubscriptionId,InstitutionName,NewJiscBand,Sector,JC Institution Name,AccountStatus,OrderDate,ResourceName,SubscriptionStart,SubscriptionExpiry,AgreementName,AgreementStartDate,AgreementEndDate,LicenceType,Country,SubscriptionStatus,Agreement Type
50997,Leeds_Metropolitan_University,Band 5B,Higher Education,Leeds Beckett University,Active,2015-03-13,IOP Journal Archive 1874-1998 (access period 2015 to 2019),2015-03-13,2019-12-31,Jisc Collections Institute of Physics IOP Archive Dec 2019,2015-01-01,2019-12-31,Direct,England,Request sent,Free Agreement
51067,Leeds_Metropolitan_University,Band 5B,Higher Education,Leeds Beckett University,Active,2015-03-26,Digimap Ordnance Survey Collection�  2014-2016,2015-03-26,2016-07-31,Digimap Main HE and FE Licence with End User Licence Agreement 2014,2014-08-01,2016-07-31,Sublicence,England,Active,Yearly Agreement
51048,King's_College_London,Band 2,Higher Education,King's College London,Active,2015-03-24,Digimap Ordnance Survey Collection�  2014-2016,2015-03-24,2016-07-31,Digimap Main HE and FE Licence with End User Licence Agreement 2014,2014-08-01,2016-07-31,Sublicence,England,Active,Yearly Agreement
50907,Imperial_College_London,Band 2,Higher Education,Imperial College London,Active,2015-03-02,Digimap Ordnance Survey Collection�  2014-2016,2015-03-02,2016-07-31,Digimap Main HE and FE Licence with End User Licence Agreement 2014,2014-08-01,2016-07-31,Sublicence,England,Active,Yearly Agreement
51032,Imperial_College_London,Band 2,Higher Education,Imperial College London,Active,2015-03-19,OUP Oxford Medical eBooks - London Medical Schools Group - 2015/16,2015-04-01,2016-03-31,Jisc Collections LMSG OUP eBooks Agreement March 2016,2015-04-01,2016-03-31,Sublicence,England,Request sent,Consortia Agreement
51035,Heriot-Watt_University,Band 5B,Higher Education,Heriot-Watt University - Built Environment,Active,2015-03-19,Digimap Ordnance Survey Collection�  2014-2016,2015-03-19,2016-07-31,Digimap Main HE and FE Licence with End User Licence Agreement 2014,2014-08-01,2016-07-31,Sublicence,Scotland,Active,Yearly Agreement
51044,"Goldsmiths_College,_University_of_London",Band 7,Higher Education,"Goldsmiths College, University of London",Active,2015-03-23,Portico eBooks (2014-2017),2015-04-01,2017-06-30,Portico Jisc Collections Portico eBooks June 2017,2014-07-01,2017-06-30,Direct,England,Request sent,Yearly Agreement
50899,Glasgow_Caledonian_University,Band 5B,Higher Education,Glasgow Caledonian University,Active,2015-03-02,IOP Journal Archive 1874-1998 (access period 2015 to 2019),2015-03-02,2019-12-31,Jisc Collections Institute of Physics IOP Archive Dec 2019,2015-01-01,2019-12-31,Direct,Scotland,Request sent,Free Agreement
50910,University_College_Falmouth,Band 9,Higher Education,Falmouth University,Active,2015-03-02,Digimap Ordnance Survey Collection�  2014-2016,2015-03-02,2016-07-31,Digimap Main HE and FE Licence with End User Licence Agreement 2014,2014-08-01,2016-07-31,Sublicence,England,Active,Yearly Agreement
50995,Durham_University,Band 4,Higher Education,Durham University,Active,2015-03-12,JSTOR Arts & Sciences XIV Collection 2012-15 Renewal,2015-03-12,2015-07-31,Jisc Collections JSTOR July 2026 Sub Lic July 2015,2014-08-01,2015-07-31,Direct,England,Request sent,Yearly Agreement
