Notes,KB_ID,KB_Name,JUSP_ID,ISNI,IP_ADDRESS
,537,University of the Highlands and Islands,uhi,0000 0001 2189 1357,194.35.194.210; 194.35.219.96 - 194.35.219.127; 194.35.219.102; 194.35.219.103; 194.35.219.118; 194.35.219.100; 194.35.219.101; 194.35.219.117; fcache.uhi.ac.uk; wwwcache.uhi.ac.uk
,538,University of the West of England,uwe,0000 0001 2034 5266,164.11.*.*
,539,University of the West of Scotland,uws,0000 0001 1091 500X,146.191.*.*; 194.82.40.* - 43.*; 212.219.172.*
,540,University of Ulster,uls,0000 0001 0551 9715,193.61.128*-193.61.191*; 194.80.80*-194.80.103*
,542,University of Wales Trinity St David,tsd,0000 0000 9280 9077,193.62.88-91.*;212.219.60-61.*;212.219.178.*;193.63.205.*;193.63.206.*;193.63.207.*;193.62.25.0/24;194.80.178.0/24
,543,University of Warwick,war,0000 0000 8549 2622,Please contact institution for IP address information
,544,University of West London,uwl,0000 0001 2185 7124,193.63.0.0 - 193.63.31.255
,545,University of Westminster,uow,0000 0000 9046 8598,161.74.*.*
,546,University of Winchester,win,0000 0000 9422 2878,194.66.200.* - 194.66.203.*; 217.45.128.209 - 217.45.128.213
,547,University of Wolverhampton,wlv,0000 0001 0693 5374,134.220.*.*; 194.81.215.15
,548,University of Worcester,wor,0000 0001 0679 8269,193.62.51.*
,549,University of York,yor,0000 0004 1936 9668,144.32.*.*; 194.83.246-247.*
,550,Wellcome Trust,wlc,0000 0004 0427 7672,83.244.194.132; 83.244.194.134; 205.227.90.25; 205.227.91.107
,189,WHEEL,,,
,551,Writtle College,,0000 0004 0387 5232,194.66.191.20-23
,552,York St John University,ysj,0000 0004 0598 9700,193.61.224.xxx - 193.61.239.xxx
add note ?  (had a jusp id nuc and kb+ id 442),442,"Newman University (formerly Newman University College, Birmingham)",,0000 0000 9354 9756,193.63.174.0/24
add,1145,"Heythrop College, University of London",,0000 0001 1088 9446,194.81.87.2 - 194.81.87.254
add,1146,Liverpool School of Tropical Medicine,,0000 0004 1936 9764,
Brian list --The Arts University College at Bournemouth . The Arts University College at Bournemouth  had kb+ id 477 and jusp id acb,477,Arts University Bournemouth,,0000 0001 0314 0998 ,195.194.50.*
add note ? ,482,Falmouth University,,0000 0001 0689 5675,193.61.64.8; 193.61.64.9
add note ? (id kb+ 466) had a JUSP id SAC) and acronym,1049,SRUC - Scotlands Rural College (formerly Scotland Agricultural College),,0000 0001 0170 6644,143.234.192.1-254; 193.63.176.1-254; 193.63.178.1-254; 194.83.148.0 - 194.83.151.255; 195.194.216.1-254
