identifier,oldname,newname,enddate
741,LTB (UK):Master:2014,LTB (UK):Master,2100-01-01
553,Lyell Collection:Master:2014,Lyell Collection:Master,2100-01-01
491,M.E.Sharpe:Master:2014,M.E.Sharpe:Master,2100-01-01
944,MA Education:Master:2014,MA Education:Master,2100-01-01
471,MA Healthcare:Master:2014,MA Healthcare:Master,2100-01-01
436,Manchester University Press:Master:2014,Manchester University Press:Master,2100-01-01
925,Maney Publishing:Master:2014,Maney Publishing:Master,2100-01-01
742,Mannin Media Group:Master:2014,Mannin Media Group:Master,2100-01-01
960,Mary Ann Liebert:Master List:2014,Mary Ann Liebert:Master List,2100-01-01
743,McCALL:Master:2014,McCALL:Master,2100-01-01
942,Media Business Insight:Master:2014,Media Business Insight:Master,2100-01-01
902,Mercator Media:Master:2014,Mercator Media:Master,2100-01-01
923,Metropolitan Publications:Master:2014,Metropolitan Publications:Master,2100-01-01
744,Miami University Ohio:Master:2014,Miami University Ohio:Master,2100-01-01
745,Michael Rubenstein Publishing:Master:2014,Michael Rubenstein Publishing:Master,2100-01-01
807,Miller Freeman:Master:2014,Miller Freeman:Master,2100-01-01
746,Miller Sports Group LLC:Master:2014,Miller Sports Group LLC:Master,2100-01-01
747,Millivres Prowler:Master:2014,Millivres Prowler:Master,2100-01-01
748,Minerva Medica:Master:2014,Minerva Medica:Master,2100-01-01
598,MIT Sloan Management:Master:2014,MIT Sloan Management:Master,2100-01-01
554,Modern Language Association:Master:2014,Modern Language Association:Master,2100-01-01
894,Mohr Siebeck:Master:2014,Mohr Siebeck:Master,2100-01-01
749,Moneyfacts Publications:Master:2014,Moneyfacts Publications:Master,2100-01-01
750,Morrison Media Services:Master:2014,Morrison Media Services:Master,2100-01-01
751,MovieScope Publishing:Master:2014,MovieScope Publishing:Master,2100-01-01
924,Mslexia Publications:Master:2014,Mslexia Publications:Master,2100-01-01
541,Multi-Science Publishing:Master:2014,Multi-Science Publishing:Master,2100-01-01
729,Museums Association:Master:2014,Museums Association:Master,2100-01-01
611,Mycological Society of America:Master:2014,Mycological Society of America:Master,2100-01-01
730,Naked Punch Review:Master:2014,Naked Punch Review:Master,2100-01-01
909,National Academy of Sciences:Master:2014,National Academy of Sciences:Master,2100-01-01
981,National Council of Teacher of English:Master:2014,National Council of Teacher of English:Master,2100-01-01
903,National Geographic Society:Master:2014,National Geographic Society:Master,2100-01-01
887,National Institute of Adult Continuing Education:Master:2014,National Institute of Adult Continuing Education:Master,2100-01-01
752,National Magazine Company:Master:2014,National Magazine Company:Master,2100-01-01
931,National Marine Electronics Association:Master:2014,National Marine Electronics Association:Master,2100-01-01
759,National Union of Journalists:Master:2014,National Union of Journalists:Master,2100-01-01
381,Nature Publishing Group:Master:2014,Nature Publishing Group:Master,2100-01-01
753,New Internationalist Publications:Master:2014,New Internationalist Publications:Master,2100-01-01
579,New Left Review:Master:2014,New Left Review:Master,2100-01-01
754,New School University:Master:2014,New School University:Master,2100-01-01
755,New Statesman:Master:2014,New Statesman:Master,2100-01-01
936,News Group Newspapers:Master:2014,News Group Newspapers:Master,2100-01-01
757,Newsquest Specialist Media:Master:2014,Newsquest Specialist Media:Master,2100-01-01
808,Nexus Media Communications:Master:2014,Nexus Media Communications:Master,2100-01-01
980,Nielsen Company:Master:2014,Nielsen Company:Master,2100-01-01
191,Now Publishers:Master:2013,Now Publishers:Master,2100-01-01
493,NRC Research Press:Master:2014,NRC Research Press:Master,2100-01-01
758,NTC Economic and Financial Publishing:Master:2014,NTC Economic and Financial Publishing:Master,2100-01-01
760,Nuova Libra Editrice:Master:2014,Nuova Libra Editrice:Master,2100-01-01
761,Nylon Worldwide Media LLC:Master:2014,Nylon Worldwide Media LLC:Master,2100-01-01
884,Oncology Nursing Society:Master:2014,Oncology Nursing Society:Master,2100-01-01
762,Open University:Master:2014,Open University:Master,2100-01-01
949,Optical Society:Master:2014,Optical Society:Master,2100-01-01
418,Organisation for Economic Co-operation & Development:Master:2014,Organisation for Economic Co-operation & Development:Master,2100-01-01
1006,Overseas Development Institute:Master:2014,Overseas Development Institute:Master,2100-01-01
1011,Oxford University Press:master:2014,Oxford University Press:Master,2100-01-01
943,Pal Korneliussen:Master:2014,Pal Korneliussen:Master,2100-01-01
572,Palgrave Journals:Master:2014,Palgrave Journals:Master,2100-01-01
763,Parkett Verlag:Master:2014,Parkett Verlag:Master,2100-01-01
764,Passenger Publishing:Master:2014,Passenger Publishing:Master,2100-01-01
979,Pavillion Publishing:Master:2014,Pavillion Publishing:Master,2100-01-01
765,Peak Performance Publishing:Master:2014,Peak Performance Publishing:Master,2100-01-01
907,Peeters Online Journals:Master:2014,Peeters Online Journals:Master,2100-01-01
766,Personnel Publications:Master:2014,Personnel Publications:Master,2100-01-01
767,Philip Allan:Master:2014,Philip Allan:Master,2100-01-01
768,Philosophy Documentation Center:Master:2014,Philosophy Documentation Center:Master,2100-01-01
926,Photo Works Magazine:Master:2014,Photo Works Magazine:Master,2100-01-01
769,Pinede:Master:2014,Pinede:Master,2100-01-01
587,PION:Master:2014,PION:Master,2100-01-01
770,Pisani Editore:Master:2014,Pisani Editore:Master,2100-01-01
440,Policy Press:Master:2014,Policy Press:Master,2100-01-01
571,Portland  Press Journals:Master:2014,Portland  Press Journals:Master,2100-01-01
771,Powerboat and RIB magazine:Master:2014,Powerboat and RIB magazine:Master,2100-01-01
908,PrAcademics Press:Master:2014,PrAcademics Press:Master,2100-01-01
772,Printing and Paper Union of Switzerland:Master:2014,Printing and Paper Union of Switzerland:Master,2100-01-01
773,Prisma Presse:Master:2014,Prisma Presse:Master,2100-01-01
904,Private Eye:Master:2014,Private Eye:Master,2100-01-01
906,Professional Boatbuilder :Master:2014,Professional Boatbuilder :Master,2100-01-01
774,Professional Lighting and Sound Association:Master:2014,Professional Lighting and Sound Association:Master,2100-01-01
775,Professional Photographers America:Master:2014,Professional Photographers America:Master,2100-01-01
116,Project Euclid:Master:2012,Project Euclid:Master,2100-01-01
978,Project Manager Today:Master:2014,Project Manager Today:Master,2100-01-01
446,Project Muse:Master:2014,Project Muse:Master,2100-01-01
776,Prospect Publishing:Master:2014,Prospect Publishing:Master,2100-01-01
777,Purple Institute:Master:2014,Purple Institute:Master,2100-01-01
809,PV Publications:Master:2014,PV Publications:Master,2100-01-01
866,Queen's University of Belfast:Master:2014,Queen's University of Belfast:Master,2100-01-01
778,Radical Philosophy:Master:2014,Radical Philosophy:Master,2100-01-01
977,Rainer Hampp Verlag:Master:2014,Rainer Hampp Verlag:Master,2100-01-01
779,Raw Vision:Master:2014,Raw Vision:Master,2100-01-01
780,RD Publications:Master:2014,RD Publications:Master,2100-01-01
781,Redactive Publishing:Master:2014,Redactive Publishing:Master,2100-01-01
782,Reed Business Information:Master:2014,Reed Business Information:Master,2100-01-01
883,Research Information:Master:2014,Research Information:Master,2100-01-01
783,Rhode Island School of Design:Master:2014,Rhode Island School of Design:Master,2100-01-01
784,Richard Lawson:Master:2014,Richard Lawson:Master,2100-01-01
785,RINA:Master:2014,RINA:Master,2100-01-01
586,Rinton Press:Master:2014,Rinton Press:Master,2100-01-01
810,Riviera Maritime Media:Master:2014,Riviera Maritime Media:Master,2100-01-01
615,Rockefeller University Press:Master:2014,Rockefeller University Press:Master,2100-01-01
468,Royal College of Nursing:Master:2014,Royal College of Nursing:Master,2100-01-01
439,Royal College of Psychiatrists:Master:2014,Royal College of Psychiatrists:Master,2100-01-01
882,Royal Netherlands Society for Agricultural Sciences:Master:2014,Royal Netherlands Society for Agricultural Sciences:Master,2100-01-01
459,Royal Society of Chemistry:Master:2014,Royal Society of Chemistry:Master,2100-01-01
954,Royal Society Publishing:Master:2014,Royal Society Publishing:Master,2100-01-01
817,Royal Television Society:Master:2014,Royal Television Society:Master,2100-01-01
818,Rudolf Augstein:Master:2014,Rudolf Augstein:Master,2100-01-01
819,Ruehle-Diebener Verlag:Master:2014,Ruehle-Diebener Verlag:Master,2100-01-01
976,Sagamore Publishing LLC:Master:2014,Sagamore Publishing LLC:Master,2100-01-01
1002,SAGE:Master:2014,SAGE:Master,2100-01-01
900,Salisbury University:Master:2014,Salisbury University:Master,2100-01-01
927,SayOne Media:Master:2014,SayOne Media:Master,2100-01-01
